"fips","state","abb","year","key","value"
"54","West Virginia","WV","1970","gross_cost_to_non-resident_hunters",395331
"55","Wisconsin","WI","1970","gross_cost_to_non-resident_hunters",801835
"56","Wyoming","WY","1970","gross_cost_to_non-resident_hunters",3076315
"01","Alabama","AL","1970","total_gross_cost_to_hunters",1008919
"02","Alaska","AK","1970","total_gross_cost_to_hunters",883909
"04","Arizona","AZ","1970","total_gross_cost_to_hunters",1462877
"05","Arkansas","AR","1970","total_gross_cost_to_hunters",1310793
"06","California","CA","1970","total_gross_cost_to_hunters",4361882
"08","Colorado","CO","1970","total_gross_cost_to_hunters",6766536
"09","Connecticut","CT","1970","total_gross_cost_to_hunters",281036
"10","Delaware","DE","1970","total_gross_cost_to_hunters",153201
"12","Florida","FL","1970","total_gross_cost_to_hunters",1486666
"13","Georgia","GA","1970","total_gross_cost_to_hunters",1237130
"15","Hawaii","HI","1970","total_gross_cost_to_hunters",73388
"16","Idaho","ID","1970","total_gross_cost_to_hunters",2236243
"17","Illinois","IL","1970","total_gross_cost_to_hunters",1559980
"18","Indiana","IN","1970","total_gross_cost_to_hunters",1463127
"19","Iowa","IA","1970","total_gross_cost_to_hunters",1423611
"20","Kansas","KS","1970","total_gross_cost_to_hunters",967437
"21","Kentucky","KY","1970","total_gross_cost_to_hunters",1094011
"22","Louisiana","LA","1970","total_gross_cost_to_hunters",957482
"23","Maine","ME","1970","total_gross_cost_to_hunters",1893110
"24","Maryland","MD","1970","total_gross_cost_to_hunters",1411200
"25","Massachusetts","MA","1970","total_gross_cost_to_hunters",565840
"26","Michigan","MI","1970","total_gross_cost_to_hunters",6185883
"27","Minnesota","MN","1970","total_gross_cost_to_hunters",3249690
"28","Mississippi","MS","1970","total_gross_cost_to_hunters",1234422
"29","Missouri","MO","1970","total_gross_cost_to_hunters",3284591
"30","Montana","MT","1970","total_gross_cost_to_hunters",2070253
"31","Nebraska","NE","1970","total_gross_cost_to_hunters",1499786
"32","Nevada","NV","1970","total_gross_cost_to_hunters",759736
"33","New Hampshire","NH","1970","total_gross_cost_to_hunters",942587
"34","New Jersey","NJ","1970","total_gross_cost_to_hunters",1088484
"35","New Mexico","NM","1970","total_gross_cost_to_hunters",1201868
"36","New York","NY","1970","total_gross_cost_to_hunters",4793083
"37","North Carolina","NC","1970","total_gross_cost_to_hunters",2205990
"38","North Dakota","ND","1970","total_gross_cost_to_hunters",583611
"39","Ohio","OH","1970","total_gross_cost_to_hunters",2425904
"40","Oklahoma","OK","1970","total_gross_cost_to_hunters",1179807
"41","Oregon","OR","1970","total_gross_cost_to_hunters",3073621
"42","Pennsylvania","PA","1970","total_gross_cost_to_hunters",8444985
"44","Rhode Island","RI","1970","total_gross_cost_to_hunters",57542
"45","South Carolina","SC","1970","total_gross_cost_to_hunters",1056339
"46","South Dakota","SD","1970","total_gross_cost_to_hunters",1315498
"47","Tennessee","TN","1970","total_gross_cost_to_hunters",1833310
"48","Texas","TX","1970","total_gross_cost_to_hunters",2585557
"49","Utah","UT","1970","total_gross_cost_to_hunters",1926362
"50","Vermont","VT","1970","total_gross_cost_to_hunters",1389163
"51","Virginia","VA","1970","total_gross_cost_to_hunters",2134185
